"","Parameter","Min","Max"
"1","maxUptake",0.381811331375502,0.821333399275318
"2","ksPAR",135,213
"3","ksDIN",1.44273181480821,3.99137181893457
"4","ksP",0.284048079513013,0.429012072482146
"5","ksSi",0.341867224033922,0.641022108169273
"6","maxGrazing",0.8465693235863,0.940125747118145
"7","ksGrazing",2.11904412065633,3.42439135233872
"8","pFaeces",0.272880688728765,0.407591836596839
"9","excretionRate",0.13186096556019,0.182792288018391
"10","mortalityRate",0.296562503848691,0.416675032640342
"11","ChlNratio",7.15857356111519,7.79945560824126
"12","Tobs",9.37395812384784,13.3916861917824
"13","kd",0.76613894123584,0.93702702447772
